000000,000000
000001,Superlan
000002,BbnWasIn
000003,Xerox
000004,Xerox
000005,Xerox
000006,Xerox
000007,Xerox
000008,Xerox
000009,Powerpip
00000a,OmronTat
00000b,Matrix
00000c,Cisco
00000d,Fibronic
00000e,Fujitsu
00000f,Next
000010,Hughes
000011,Tektrnix
000012,Informat
000013,Camex
000014,Netronix
000015,Datapoin
000016,DuPontPi
000017,Oracle
000018,WebsterC
000019,AppliedD
00001a,AMD
00001b,NovellNo
00001c,JdrMicro
00001d,Cabletro
00001e,TelsistI
00001f,Cryptall
000020,DIAB
000021,SC&C
000022,VisualTe
000023,AbbAutom
000024,Olicom
000025,Ramtek
000026,Sha-Ken
000027,JapanRad
000028,Prodigy
000029,Imc
00002a,Trw
00002b,CrispAut
00002c,Nrc-Netw
00002d,Chromati
00002e,SocieteE
00002f,Timeplex
000030,VgLabora
000031,QpsxComm
000032,GptReass
000033,EganMach
000034,NetworkR
000035,Spectrag
000036,Atari
000037,OxfordMe
000038,CssLabs
000039,Toshiba
00003a,Chyron
00003b,Hyundai/
00003c,Auspex
00003d,AT&T
00003e,Simpact
00003f,Syntrex
000040,Applicon
000041,Ice
000042,MetierMa
000043,MicroTec
000044,Castelle
000045,FordAero
000046,ISC-BR
000047,NicoletI
000048,Epson
000049,Apricot
00004a,AdcCoden
00004b,APT
00004c,Nec
00004d,Dci
00004e,Ampex
00004f,Logicraf
000050,Radisys
000051,HobElect
000052,OpticalD
000053,Compucor
000054,Schneide
000055,AT&T
000056,DrBStruc
000057,Scitex
000058,RacoreCo
000059,Hellige
00005a,SkSchnei
00005b,Eltec
00005c,Telemati
00005d,Rce
00005e,USDepart
00005f,Sumitomo
000060,KontronE
000061,GatewayC
000062,Hneywell
000063,HP
000064,Yokogawa
000065,NetworkG
000066,Talaris
000067,Soft*Rit
000068,Rosemoun
000069,SGI
00006a,Computer
00006b,MIPS
00006c,Private
00006d,Case
00006e,Artisoft
00006f,MadgeNet
000070,Hcl
000071,Adra
000072,Miniware
000073,Dupont
000074,Ricoh
000075,BellNort
000076,AbekasVi
000077,Interpha
000078,LabtamAu
000079,Networth
00007a,Ardent
00007b,Research
00007c,Ampere
00007d,Cray
00007e,Netframe
00007f,Linotype
000080,CrayComm
000081,Synoptic
000082,LectraSy
000083,TadpoleT
000084,Aquila?A
000085,Canon
000086,GatewayC
000087,Hitachi
000088,BrocadeC
000089,CaymanSy
00008a,Datahous
00008b,Infotron
00008c,AlloyCom
00008d,Cryptek
00008e,Solbourn
00008f,Raytheon
000090,Microcom
000091,Anritsu
000092,UnisysCo
000093,Proteon
000094,AsanteMa
000095,Sony
000096,MarconiE
000097,Epoch
000098,CrossCom
000099,MemorexT
00009a,RcComput
00009b,Informat
00009c,RolmMil-
00009d,LocusCom
00009e,MarliSA
00009f,Amerista
0000a0,SanyoEle
0000a1,Marquett
0000a2,Wellflee
0000a3,NAT
0000a4,Acorn
0000a5,CSC
0000a6,NetworkG
0000a7,NCD
0000a8,StratusC
0000a9,NetSys
0000aa,XeroxXer
0000ab,LogicMod
0000ac,ConwareN
0000ad,BrukerIn
0000ae,Dassault
